Date,PM2.5
2013-10-14,29.4
2013-10-15,25.9
2013-10-16,46.9
2013-10-17,29.4
2013-10-18,22.2
2013-10-19,22.2
2013-10-20,22.2
2013-10-21,35.9
2013-10-22,18.3
2013-10-23,18.3
2013-10-24,33.5
2013-10-25,22.2
2013-10-26,32.4
2013-10-27,21.7
2013-10-28,22.2
2013-10-29,29.4
2013-10-30,28.7
2013-10-31,43.2
2013-10-,27.9
2013-11-1,28.7
2013-11-2,24.1
2013-11-3,24.1
2013-11-4,16.5
2013-11-5,46.9
2013-11-6,16.5
2013-11-7,25.9
2013-11-8,31.7
2013-11-9,27.8
2013-11-10,39.6
2013-11-11,18.3
2013-11-12,18.3
2013-11-13,20.6
2013-11-14,20.6
2013-11-15,46.9
2013-11-16,28.7
2013-11-17,35.2
2013-11-18,31.7
2013-11-19,18.3
2013-11-20,32.4
2013-11-21,21.7
2013-11-22,37
2013-11-23,20.6
2013-11-24,25.9
2013-11-25,32.4
2013-11-26,18.3
2013-11-27,22.2
2013-11-28,27.8
2013-11-29,37
2013-11-30,22.2
2013-11-,27.3
2013-12-1,32.4
2013-12-2,18.3
2013-12-3,31.7
2013-12-4,40.7
2013-12-5,35.9
2013-12-6,25.2
2013-12-7,35.9
2013-12-8,22.2
2013-12-9,18.3
2013-12-10,35.9
2013-12-11,21.7
2013-12-12,25.9
2013-12-13,22.2
2013-12-14,29.4
2013-12-15,24.1
2013-12-16,35.9
2013-12-17,35.9
2013-12-18,29.4
2013-12-19,25.9
2013-12-20,32.4
2013-12-21,16.5
2013-12-22,31.7
2013-12-23,46.5
2013-12-24,35.2
2013-12-25,21.7
2013-12-26,18.3
2013-12-27,22.2
2013-12-28,18.3
2013-12-29,18.3
2013-12-30,24.1
2013-12-31,25.9
2013-12-,27.7
