Date,PM2.5,AQI,AQI-Category
2022-04-23,22.2,,
23,22.2,72.0,Moderate
2022-04-24,22.2,,
24,22.2,72.0,Moderate
2022-04-25,18.3,,
25,18.3,64.0,Moderate
2022-04-26,18.3,,
26,18.3,64.0,Moderate
2022-04-27,22.2,,
27,22.2,72.0,Moderate
2022-04-28,25.9,,
28,25.9,80.0,Moderate
2022-04-29,18.3,,
29,18.3,64.0,Moderate
2022-04-30,22.2,,
30,22.2,72.0,Moderate
2022-04-,19.8,,
,19.8,67.0,Moderate
2022-05-1,25.9,,
1,25.9,80.0,Moderate
2022-05-2,33.5,,
2,33.5,96.0,Moderate
2022-05-3,29.4,,
3,29.4,87.0,Moderate
2022-05-4,18.3,,
4,18.3,64.0,Moderate
2022-05-5,14.8,,
5,14.8,57.0,Moderate
2022-05-6,22.2,,
6,22.2,72.0,Moderate
2022-05-7,18.3,,
7,18.3,64.0,Moderate
2022-05-8,22.2,,
8,22.2,72.0,Moderate
2022-05-9,22.2,,
9,22.2,72.0,Moderate
2022-05-10,18.3,,
10,18.3,64.0,Moderate
2022-05-11,22.2,,
11,22.2,72.0,Moderate
2022-05-12,18.3,,
12,18.3,64.0,Moderate
2022-05-13,33.5,,
13,33.5,96.0,Moderate
2022-05-14,29.4,,
14,29.4,87.0,Moderate
2022-05-15,25.9,,
15,25.9,80.0,Moderate
2022-05-16,25.9,,
16,25.9,80.0,Moderate
2022-05-17,22.2,,
17,22.2,72.0,Moderate
2022-05-18,22.2,,
18,22.2,72.0,Moderate
2022-05-19,22.2,,
19,22.2,72.0,Moderate
2022-05-20,22.2,,
20,22.2,72.0,Moderate
2022-05-21,33.5,,
21,33.5,96.0,Moderate
2022-05-22,29.4,,
22,29.4,87.0,Moderate
2022-05-23,25.9,,
23,25.9,80.0,Moderate
2022-05-24,18.3,,
24,18.3,64.0,Moderate
2022-05-25,22.2,,
25,22.2,72.0,Moderate
2022-05-26,29.4,,
26,29.4,87.0,Moderate
2022-05-27,33.5,,
27,33.5,96.0,Moderate
2022-05-28,29.4,,
28,29.4,87.0,Moderate
2022-05-29,29.4,,
29,29.4,87.0,Moderate
2022-05-30,29.4,,
30,29.4,87.0,Moderate
2022-05-31,29.4,,
31,29.4,87.0,Moderate
2022-05-,25.1,,
,25.1,78.0,Moderate
2022-06-1,25.9,,
1,25.9,80.0,Moderate
2022-06-2,22.2,,
2,22.2,72.0,Moderate
2022-06-3,29.4,,
3,29.4,87.0,Moderate
2022-06-4,25.9,,
4,25.9,80.0,Moderate
2022-06-5,25.9,,
5,25.9,80.0,Moderate
2022-06-6,25.9,,
6,25.9,80.0,Moderate
2022-06-7,33.5,,
7,33.5,96.0,Moderate
2022-06-8,29.4,,
8,29.4,87.0,Moderate
2022-06-9,29.4,,
9,29.4,87.0,Moderate
2022-06-10,22.2,,
10,22.2,72.0,Moderate
2022-06-11,22.2,,
11,22.2,72.0,Moderate
2022-06-12,22.2,,
12,22.2,72.0,Moderate
2022-06-13,22.2,,
13,22.2,72.0,Moderate
2022-06-14,18.3,,
14,18.3,64.0,Moderate
2022-06-15,29.4,,
15,29.4,87.0,Moderate
2022-06-16,29.4,,
16,29.4,87.0,Moderate
2022-06-17,25.9,,
17,25.9,80.0,Moderate
2022-06-18,25.9,,
18,25.9,80.0,Moderate
2022-06-19,25.9,,
19,25.9,80.0,Moderate
2022-06-20,33.5,,
20,33.5,96.0,Moderate
2022-06-21,25.9,,
21,25.9,80.0,Moderate
2022-06-22,29.4,,
22,29.4,87.0,Moderate
2022-06-23,18.3,,
23,18.3,64.0,Moderate
2022-06-24,22.2,,
24,22.2,72.0,Moderate
2022-06-25,25.9,,
25,25.9,80.0,Moderate
2022-06-26,22.2,,
26,22.2,72.0,Moderate
2022-06-27,14.8,,
27,14.8,57.0,Moderate
2022-06-28,18.3,,
28,18.3,64.0,Moderate
2022-06-29,22.2,,
29,22.2,72.0,Moderate
2022-06-30,25.9,,
30,25.9,80.0,Moderate
2022-06-,25,,
,25.0,78.0,Moderate
2022-07-1,25.9,,
1,25.9,80.0,Moderate
2022-07-2,-,,
2,,,Invalid
2022-07-3,14.8,,
3,14.8,57.0,Moderate
2022-07-4,18.3,,
4,18.3,64.0,Moderate
2022-07-5,14.8,,
5,14.8,57.0,Moderate
2022-07-6,14.8,,
6,14.8,57.0,Moderate
2022-07-7,22.2,,
7,22.2,72.0,Moderate
2022-07-8,22.2,,
8,22.2,72.0,Moderate
2022-07-9,18.3,,
9,18.3,64.0,Moderate
2022-07-10,22.2,,
10,22.2,72.0,Moderate
2022-07-11,11.1,,
11,11.1,46.0,Good
2022-07-12,22.2,,
12,22.2,72.0,Moderate
2022-07-13,14.8,,
13,14.8,57.0,Moderate
2022-07-14,42.4,,
14,42.4,118.0,Unhealthy for Sensitive Groups
2022-07-15,25.9,,
15,25.9,80.0,Moderate
2022-07-16,29.4,,
16,29.4,87.0,Moderate
2022-07-17,22.2,,
17,22.2,72.0,Moderate
2022-07-18,14.8,,
18,14.8,57.0,Moderate
2022-07-19,22.2,,
19,22.2,72.0,Moderate
2022-07-20,29.4,,
20,29.4,87.0,Moderate
2022-07-21,33.5,,
21,33.5,96.0,Moderate
2022-07-22,14.8,,
22,14.8,57.0,Moderate
2022-07-23,18.3,,
23,18.3,64.0,Moderate
2022-07-24,11.1,,
24,11.1,46.0,Good
2022-07-25,14.8,,
25,14.8,57.0,Moderate
2022-07-26,14.8,,
26,14.8,57.0,Moderate
2022-07-27,18.3,,
27,18.3,64.0,Moderate
2022-07-28,18.3,,
28,18.3,64.0,Moderate
2022-07-29,25.9,,
29,25.9,80.0,Moderate
2022-07-30,25.9,,
30,25.9,80.0,Moderate
2022-07-31,22.2,,
31,22.2,72.0,Moderate
2022-07-,20.9,,
,20.9,70.0,Moderate
2022-08-1,22.2,,
1,22.2,72.0,Moderate
2022-08-2,18.3,,
2,18.3,64.0,Moderate
2022-08-3,18.3,,
3,18.3,64.0,Moderate
2022-08-4,18.3,,
4,18.3,64.0,Moderate
2022-08-5,14.8,,
5,14.8,57.0,Moderate
2022-08-6,11.1,,
6,11.1,46.0,Good
2022-08-7,18.3,,
7,18.3,64.0,Moderate
2022-08-8,14.8,,
8,14.8,57.0,Moderate
2022-08-9,14.8,,
9,14.8,57.0,Moderate
2022-08-10,11.1,,
10,11.1,46.0,Good
2022-08-11,11.1,,
11,11.1,46.0,Good
2022-08-12,25.9,,
12,25.9,80.0,Moderate
2022-08-13,7.6,,
13,7.6,32.0,Good
2022-08-14,22.2,,
14,22.2,72.0,Moderate
2022-08-15,18.3,,
15,18.3,64.0,Moderate
2022-08-16,7.6,,
16,7.6,32.0,Good
2022-08-17,11.1,,
17,11.1,46.0,Good
2022-08-18,18.3,,
18,18.3,64.0,Moderate
2022-08-19,22.2,,
19,22.2,72.0,Moderate
2022-08-20,22.2,,
20,22.2,72.0,Moderate
2022-08-21,18.3,,
21,18.3,64.0,Moderate
2022-08-22,14.8,,
22,14.8,57.0,Moderate
2022-08-23,14.8,,
23,14.8,57.0,Moderate
2022-08-24,-,,
24,,,Invalid
2022-08-25,-,,
25,,,Invalid
2022-08-26,-,,
26,,,Invalid
2022-08-27,18.3,,
27,18.3,64.0,Moderate
2022-08-28,25.9,,
28,25.9,80.0,Moderate
2022-08-29,18.3,,
29,18.3,64.0,Moderate
2022-08-30,14.8,,
30,14.8,57.0,Moderate
2022-08-31,18.3,,
31,18.3,64.0,Moderate
2022-08-,16.9,,
,16.9,61.0,Moderate
2022-09-1,18.3,,
1,18.3,64.0,Moderate
2022-09-2,22.2,,
2,22.2,72.0,Moderate
2022-09-3,29.4,,
3,29.4,87.0,Moderate
2022-09-4,29.4,,
4,29.4,87.0,Moderate
2022-09-5,22.2,,
5,22.2,72.0,Moderate
2022-09-6,18.3,,
6,18.3,64.0,Moderate
2022-09-7,14.8,,
7,14.8,57.0,Moderate
2022-09-8,11.1,,
8,11.1,46.0,Good
2022-09-9,11.1,,
9,11.1,46.0,Good
2022-09-10,11.1,,
10,11.1,46.0,Good
2022-09-11,18.3,,
11,18.3,64.0,Moderate
2022-09-12,18.3,,
12,18.3,64.0,Moderate
2022-09-13,-,,
13,,,Invalid
2022-09-14,14.8,,
14,14.8,57.0,Moderate
2022-09-15,22.2,,
15,22.2,72.0,Moderate
2022-09-16,22.2,,
16,22.2,72.0,Moderate
2022-09-17,18.3,,
17,18.3,64.0,Moderate
2022-09-18,14.8,,
18,14.8,57.0,Moderate
2022-09-19,18.3,,
19,18.3,64.0,Moderate
2022-09-20,18.3,,
20,18.3,64.0,Moderate
2022-09-21,22.2,,
21,22.2,72.0,Moderate
2022-09-22,18.3,,
22,18.3,64.0,Moderate
2022-09-23,22.2,,
23,22.2,72.0,Moderate
2022-09-24,22.2,,
24,22.2,72.0,Moderate
2022-09-25,22.2,,
25,22.2,72.0,Moderate
2022-09-26,18.3,,
26,18.3,64.0,Moderate
2022-09-27,14.8,,
27,14.8,57.0,Moderate
2022-09-28,18.3,,
28,18.3,64.0,Moderate
2022-09-29,18.3,,
29,18.3,64.0,Moderate
2022-09-30,18.3,,
30,18.3,64.0,Moderate
2022-09-,18.9,,
,18.9,65.0,Moderate
2022-10-1,25.9,,
1,25.9,80.0,Moderate
2022-10-2,18.3,,
2,18.3,64.0,Moderate
2022-10-3,14.8,,
3,14.8,57.0,Moderate
2022-10-4,14.8,,
4,14.8,57.0,Moderate
2022-10-5,14.8,,
5,14.8,57.0,Moderate
2022-10-6,18.3,,
6,18.3,64.0,Moderate
2022-10-7,11.1,,
7,11.1,46.0,Good
2022-10-8,14.8,,
8,14.8,57.0,Moderate
2022-10-9,11.1,,
9,11.1,46.0,Good
2022-10-10,11.1,,
10,11.1,46.0,Good
2022-10-11,11.1,,
11,11.1,46.0,Good
2022-10-12,14.8,,
12,14.8,57.0,Moderate
2022-10-13,7.6,,
13,7.6,32.0,Good
2022-10-14,14.8,,
14,14.8,57.0,Moderate
2022-10-15,14.8,,
15,14.8,57.0,Moderate
2022-10-16,11.1,,
16,11.1,46.0,Good
2022-10-17,11.1,,
17,11.1,46.0,Good
2022-10-18,14.8,,
18,14.8,57.0,Moderate
2022-10-19,55.4,,
19,55.4,150.0,Unhealthy for Sensitive Groups
2022-10-20,14.8,,
20,14.8,57.0,Moderate
