Date,PM2.5,AQI,AQI-Bucket
2023-01-1,14.8,,
1,14.8,57.0,Moderate
2023-01-2,14.8,,
2,14.8,57.0,Moderate
2023-01-3,14.8,,
3,14.8,57.0,Moderate
2023-01-4,29.4,,
4,29.4,87.0,Moderate
2023-01-5,18.3,,
5,18.3,64.0,Moderate
2023-01-6,18.3,,
6,18.3,64.0,Moderate
2023-01-7,11.1,,
7,11.1,46.0,Good
2023-01-8,11.1,,
8,11.1,46.0,Good
2023-01-9,11.1,,
9,11.1,46.0,Good
2023-01-10,11.1,,
10,11.1,46.0,Good
2023-01-11,29.4,,
11,29.4,87.0,Moderate
2023-01-12,29.4,,
12,29.4,87.0,Moderate
2023-01-13,18.3,,
13,18.3,64.0,Moderate
2023-01-14,18.3,,
14,18.3,64.0,Moderate
2023-01-15,11.1,,
15,11.1,46.0,Good
2023-01-16,7.6,,
16,7.6,32.0,Good
2023-01-17,11.1,,
17,11.1,46.0,Good
2023-01-18,11.1,,
18,11.1,46.0,Good
2023-01-19,18.3,,
19,18.3,64.0,Moderate
2023-01-20,14.8,,
20,14.8,57.0,Moderate
2023-01-21,14.8,,
21,14.8,57.0,Moderate
2023-01-22,14.8,,
22,14.8,57.0,Moderate
2023-01-23,14.8,,
23,14.8,57.0,Moderate
2023-01-24,11.1,,
24,11.1,46.0,Good
2023-01-25,22.2,,
25,22.2,72.0,Moderate
2023-01-26,18.3,,
26,18.3,64.0,Moderate
2023-01-27,25.9,,
27,25.9,80.0,Moderate
2023-01-28,18.3,,
28,18.3,64.0,Moderate
2023-01-29,14.8,,
29,14.8,57.0,Moderate
2023-01-30,14.8,,
30,14.8,57.0,Moderate
2023-01-31,25.9,,
31,25.9,80.0,Moderate
2023-01-,16.8,,
,16.8,61.0,Moderate
2023-02-1,11.1,,
1,11.1,46.0,Good
2023-02-2,-,,
2,,,Invalid
2023-02-3,11.1,,
3,11.1,46.0,Good
2023-02-4,18.3,,
4,18.3,64.0,Moderate
2023-02-5,25.9,,
5,25.9,80.0,Moderate
2023-02-6,11.1,,
6,11.1,46.0,Good
2023-02-7,11.1,,
7,11.1,46.0,Good
2023-02-8,14.8,,
8,14.8,57.0,Moderate
2023-02-9,18.3,,
9,18.3,64.0,Moderate
2023-02-10,22.2,,
10,22.2,72.0,Moderate
2023-02-11,11.1,,
11,11.1,46.0,Good
2023-02-12,18.3,,
12,18.3,64.0,Moderate
2023-02-13,14.8,,
13,14.8,57.0,Moderate
2023-02-14,18.3,,
14,18.3,64.0,Moderate
2023-02-15,14.8,,
15,14.8,57.0,Moderate
2023-02-16,11.1,,
16,11.1,46.0,Good
2023-02-17,11.1,,
17,11.1,46.0,Good
2023-02-18,14.8,,
18,14.8,57.0,Moderate
2023-02-19,18.3,,
19,18.3,64.0,Moderate
2023-02-20,18.3,,
20,18.3,64.0,Moderate
2023-02-21,46.5,,
21,46.5,128.0,Unhealthy for Sensitive Groups
2023-02-22,22.2,,
22,22.2,72.0,Moderate
2023-02-23,14.8,,
23,14.8,57.0,Moderate
2023-02-24,18.3,,
24,18.3,64.0,Moderate
2023-02-25,18.3,,
25,18.3,64.0,Moderate
2023-02-26,14.8,,
26,14.8,57.0,Moderate
2023-02-27,14.8,,
27,14.8,57.0,Moderate
2023-02-28,14.8,,
28,14.8,57.0,Moderate
2023-02-,17,,
,17.0,61.0,Moderate
2023-03-1,11.1,,
1,11.1,46.0,Good
2023-03-2,25.9,,
2,25.9,80.0,Moderate
2023-03-3,14.8,,
3,14.8,57.0,Moderate
2023-03-4,14.8,,
4,14.8,57.0,Moderate
2023-03-5,14.8,,
5,14.8,57.0,Moderate
2023-03-6,18.3,,
6,18.3,64.0,Moderate
2023-03-7,14.8,,
7,14.8,57.0,Moderate
2023-03-8,18.3,,
8,18.3,64.0,Moderate
2023-03-9,18.3,,
9,18.3,64.0,Moderate
2023-03-10,18.3,,
10,18.3,64.0,Moderate
2023-03-11,22.2,,
11,22.2,72.0,Moderate
2023-03-12,14.8,,
12,14.8,57.0,Moderate
2023-03-13,14.8,,
13,14.8,57.0,Moderate
2023-03-14,14.8,,
14,14.8,57.0,Moderate
2023-03-15,22.2,,
15,22.2,72.0,Moderate
2023-03-16,22.2,,
16,22.2,72.0,Moderate
2023-03-17,11.1,,
17,11.1,46.0,Good
2023-03-18,18.3,,
18,18.3,64.0,Moderate
2023-03-19,14.8,,
19,14.8,57.0,Moderate
2023-03-20,18.3,,
20,18.3,64.0,Moderate
2023-03-21,18.3,,
21,18.3,64.0,Moderate
2023-03-22,18.3,,
22,18.3,64.0,Moderate
2023-03-23,14.8,,
23,14.8,57.0,Moderate
2023-03-24,22.2,,
24,22.2,72.0,Moderate
2023-03-25,18.3,,
25,18.3,64.0,Moderate
2023-03-26,18.3,,
26,18.3,64.0,Moderate
2023-03-27,22.2,,
27,22.2,72.0,Moderate
2023-03-28,22.2,,
28,22.2,72.0,Moderate
2023-03-29,25.9,,
29,25.9,80.0,Moderate
2023-03-30,22.2,,
30,22.2,72.0,Moderate
2023-03-31,25.9,,
31,25.9,80.0,Moderate
2023-03-,18.4,,
,18.4,64.0,Moderate
2023-04-1,25.9,,
1,25.9,80.0,Moderate
2023-04-2,22.2,,
2,22.2,72.0,Moderate
2023-04-3,18.3,,
3,18.3,64.0,Moderate
2023-04-4,22.2,,
4,22.2,72.0,Moderate
2023-04-5,14.8,,
5,14.8,57.0,Moderate
2023-04-6,18.3,,
6,18.3,64.0,Moderate
2023-04-7,22.2,,
7,22.2,72.0,Moderate
2023-04-8,18.3,,
8,18.3,64.0,Moderate
2023-04-9,25.9,,
9,25.9,80.0,Moderate
2023-04-10,14.8,,
10,14.8,57.0,Moderate
2023-04-11,18.3,,
11,18.3,64.0,Moderate
2023-04-12,22.2,,
12,22.2,72.0,Moderate
2023-04-13,25.9,,
13,25.9,80.0,Moderate
2023-04-14,22.2,,
14,22.2,72.0,Moderate
2023-04-15,22.2,,
15,22.2,72.0,Moderate
2023-04-16,22.2,,
16,22.2,72.0,Moderate
2023-04-17,22.2,,
17,22.2,72.0,Moderate
2023-04-18,18.3,,
18,18.3,64.0,Moderate
2023-04-19,22.2,,
19,22.2,72.0,Moderate
2023-04-20,18.3,,
20,18.3,64.0,Moderate
2023-04-21,22.2,,
21,22.2,72.0,Moderate
2023-04-22,22.2,,
22,22.2,72.0,Moderate
2023-04-23,18.3,,
23,18.3,64.0,Moderate
2023-04-24,14.8,,
24,14.8,57.0,Moderate
2023-04-25,18.3,,
25,18.3,64.0,Moderate
2023-04-26,22.2,,
26,22.2,72.0,Moderate
2023-04-27,22.2,,
27,22.2,72.0,Moderate
2023-04-28,18.3,,
28,18.3,64.0,Moderate
2023-04-29,14.8,,
29,14.8,57.0,Moderate
2023-04-30,18.3,,
30,18.3,64.0,Moderate
2023-04-,20.3,,
,20.3,68.0,Moderate
2023-05-1,22.2,,
1,22.2,72.0,Moderate
2023-05-2,18.3,,
2,18.3,64.0,Moderate
2023-05-3,18.3,,
3,18.3,64.0,Moderate
2023-05-4,18.3,,
4,18.3,64.0,Moderate
2023-05-5,22.2,,
5,22.2,72.0,Moderate
2023-05-6,18.3,,
6,18.3,64.0,Moderate
2023-05-7,22.2,,
7,22.2,72.0,Moderate
2023-05-8,22.2,,
8,22.2,72.0,Moderate
2023-05-9,18.3,,
9,18.3,64.0,Moderate
2023-05-10,18.3,,
10,18.3,64.0,Moderate
2023-05-11,22.2,,
11,22.2,72.0,Moderate
2023-05-12,22.2,,
12,22.2,72.0,Moderate
2023-05-13,25.9,,
13,25.9,80.0,Moderate
2023-05-14,25.9,,
14,25.9,80.0,Moderate
2023-05-15,25.9,,
15,25.9,80.0,Moderate
2023-05-16,29.4,,
16,29.4,87.0,Moderate
2023-05-17,25.9,,
17,25.9,80.0,Moderate
2023-05-18,22.2,,
18,22.2,72.0,Moderate
2023-05-19,22.2,,
19,22.2,72.0,Moderate
2023-05-20,22.2,,
20,22.2,72.0,Moderate
2023-05-21,22.2,,
21,22.2,72.0,Moderate
2023-05-22,25.9,,
22,25.9,80.0,Moderate
2023-05-23,25.9,,
23,25.9,80.0,Moderate
2023-05-24,29.4,,
24,29.4,87.0,Moderate
2023-05-25,37,,
25,37.0,105.0,Unhealthy for Sensitive Groups
2023-05-26,29.4,,
26,29.4,87.0,Moderate
2023-05-27,33.5,,
27,33.5,96.0,Moderate
2023-05-28,25.9,,
28,25.9,80.0,Moderate
2023-05-29,22.2,,
29,22.2,72.0,Moderate
2023-05-30,22.2,,
30,22.2,72.0,Moderate
2023-05-31,29.4,,
31,29.4,87.0,Moderate
2023-05-,24.1,,
,24.1,76.0,Moderate
2023-06-1,25.6,,
1,25.6,79.0,Moderate
2023-06-2,22.2,,
2,22.2,72.0,Moderate
2023-06-3,22.2,,
3,22.2,72.0,Moderate
2023-06-4,22.2,,
4,22.2,72.0,Moderate
2023-06-5,22.2,,
5,22.2,72.0,Moderate
2023-06-6,22.2,,
6,22.2,72.0,Moderate
2023-06-7,14.8,,
7,14.8,57.0,Moderate
2023-06-8,18.3,,
8,18.3,64.0,Moderate
2023-06-9,22.2,,
9,22.2,72.0,Moderate
2023-06-10,21.9,,
10,21.9,72.0,Moderate
2023-06-11,11.1,,
11,11.1,46.0,Good
2023-06-12,18.3,,
12,18.3,64.0,Moderate
2023-06-13,37,,
13,37.0,105.0,Unhealthy for Sensitive Groups
2023-06-14,29.4,,
14,29.4,87.0,Moderate
2023-06-15,29.4,,
15,29.4,87.0,Moderate
2023-06-16,22.2,,
16,22.2,72.0,Moderate
2023-06-17,25.9,,
17,25.9,80.0,Moderate
2023-06-18,74.1,,
18,74.1,161.0,Unhealthy
2023-06-19,22.2,,
19,22.2,72.0,Moderate
2023-06-20,22.2,,
20,22.2,72.0,Moderate
2023-06-21,22.2,,
21,22.2,72.0,Moderate
2023-06-22,18.3,,
22,18.3,64.0,Moderate
2023-06-23,25.6,,
23,25.6,79.0,Moderate
2023-06-24,22.2,,
24,22.2,72.0,Moderate
2023-06-25,22.2,,
25,22.2,72.0,Moderate
2023-06-26,22.2,,
26,22.2,72.0,Moderate
2023-06-27,22.2,,
27,22.2,72.0,Moderate
2023-06-28,18.3,,
28,18.3,64.0,Moderate
2023-06-29,25.9,,
29,25.9,80.0,Moderate
2023-06-30,29.4,,
30,29.4,87.0,Moderate
2023-06-,24.5,,
,24.5,77.0,Moderate
2023-07-1,22.2,,
1,22.2,72.0,Moderate
2023-07-2,22.2,,
2,22.2,72.0,Moderate
2023-07-3,25.9,,
3,25.9,80.0,Moderate
2023-07-4,22.2,,
4,22.2,72.0,Moderate
2023-07-5,25.6,,
5,25.6,79.0,Moderate
2023-07-6,18.3,,
6,18.3,64.0,Moderate
2023-07-7,22.2,,
7,22.2,72.0,Moderate
2023-07-8,18.3,,
8,18.3,64.0,Moderate
2023-07-9,22.2,,
9,22.2,72.0,Moderate
2023-07-10,22.2,,
10,22.2,72.0,Moderate
2023-07-11,22.2,,
11,22.2,72.0,Moderate
2023-07-12,29.4,,
12,29.4,87.0,Moderate
2023-07-13,29.4,,
13,29.4,87.0,Moderate
2023-07-14,25.9,,
14,25.9,80.0,Moderate
2023-07-15,29.4,,
15,29.4,87.0,Moderate
2023-07-16,22.2,,
16,22.2,72.0,Moderate
2023-07-17,25.9,,
17,25.9,80.0,Moderate
2023-07-18,22.2,,
18,22.2,72.0,Moderate
2023-07-19,25.9,,
19,25.9,80.0,Moderate
2023-07-20,14.8,,
20,14.8,57.0,Moderate
2023-07-21,22.2,,
21,22.2,72.0,Moderate
2023-07-22,14.8,,
22,14.8,57.0,Moderate
2023-07-23,25.9,,
23,25.9,80.0,Moderate
2023-07-24,18.3,,
24,18.3,64.0,Moderate
2023-07-25,14.8,,
25,14.8,57.0,Moderate
2023-07-26,18.3,,
26,18.3,64.0,Moderate
2023-07-27,29.4,,
27,29.4,87.0,Moderate
2023-07-28,29.4,,
28,29.4,87.0,Moderate
2023-07-29,25.9,,
29,25.9,80.0,Moderate
2023-07-30,25.9,,
30,25.9,80.0,Moderate
2023-07-31,25.6,,
31,25.6,79.0,Moderate
2023-07-,23.2,,
,23.2,74.0,Moderate
2023-08-1,22.2,,
1,22.2,72.0,Moderate
2023-08-2,25.9,,
2,25.9,80.0,Moderate
2023-08-3,22.2,,
3,22.2,72.0,Moderate
2023-08-4,22.2,,
4,22.2,72.0,Moderate
2023-08-5,22.2,,
5,22.2,72.0,Moderate
2023-08-6,29.4,,
6,29.4,87.0,Moderate
2023-08-7,29.4,,
7,29.4,87.0,Moderate
2023-08-8,29.4,,
8,29.4,87.0,Moderate
2023-08-9,25.9,,
9,25.9,80.0,Moderate
2023-08-10,22.2,,
10,22.2,72.0,Moderate
2023-08-11,22.2,,
11,22.2,72.0,Moderate
2023-08-12,29.4,,
12,29.4,87.0,Moderate
2023-08-13,25.9,,
13,25.9,80.0,Moderate
2023-08-14,18.3,,
14,18.3,64.0,Moderate
2023-08-15,14.8,,
15,14.8,57.0,Moderate
2023-08-16,25.9,,
16,25.9,80.0,Moderate
2023-08-17,29.4,,
17,29.4,87.0,Moderate
2023-08-18,29.4,,
18,29.4,87.0,Moderate
2023-08-19,22.2,,
19,22.2,72.0,Moderate
2023-08-20,22.2,,
20,22.2,72.0,Moderate
2023-08-21,29.4,,
21,29.4,87.0,Moderate
2023-08-22,25.9,,
22,25.9,80.0,Moderate
2023-08-23,29.4,,
23,29.4,87.0,Moderate
2023-08-24,25.9,,
24,25.9,80.0,Moderate
2023-08-25,25.9,,
25,25.9,80.0,Moderate
2023-08-26,22.2,,
26,22.2,72.0,Moderate
2023-08-27,25.9,,
27,25.9,80.0,Moderate
2023-08-28,33.5,,
28,33.5,96.0,Moderate
2023-08-29,22.2,,
29,22.2,72.0,Moderate
2023-08-30,18.3,,
30,18.3,64.0,Moderate
2023-08-31,22.2,,
31,22.2,72.0,Moderate
2023-08-,24.9,,
,24.9,78.0,Moderate
2023-09-1,14.8,,
1,14.8,57.0,Moderate
2023-09-2,22.2,,
2,22.2,72.0,Moderate
2023-09-3,18.3,,
3,18.3,64.0,Moderate
2023-09-4,18.3,,
4,18.3,64.0,Moderate
2023-09-5,18.3,,
5,18.3,64.0,Moderate
2023-09-6,14.8,,
6,14.8,57.0,Moderate
2023-09-7,22.2,,
7,22.2,72.0,Moderate
2023-09-8,22.2,,
8,22.2,72.0,Moderate
2023-09-9,22.2,,
9,22.2,72.0,Moderate
2023-09-10,29.4,,
10,29.4,87.0,Moderate
2023-09-11,25.9,,
11,25.9,80.0,Moderate
2023-09-12,22.2,,
12,22.2,72.0,Moderate
2023-09-13,22.2,,
13,22.2,72.0,Moderate
2023-09-14,18.3,,
14,18.3,64.0,Moderate
2023-09-15,22.2,,
15,22.2,72.0,Moderate
2023-09-16,22.2,,
16,22.2,72.0,Moderate
2023-09-17,22.2,,
17,22.2,72.0,Moderate
2023-09-18,18.3,,
18,18.3,64.0,Moderate
2023-09-19,14.8,,
19,14.8,57.0,Moderate
2023-09-20,22.2,,
20,22.2,72.0,Moderate
2023-09-21,18.3,,
21,18.3,64.0,Moderate
2023-09-22,11.1,,
22,11.1,46.0,Good
2023-09-23,18.3,,
23,18.3,64.0,Moderate
2023-09-24,18.3,,
24,18.3,64.0,Moderate
2023-09-25,14.8,,
25,14.8,57.0,Moderate
2023-09-26,14.8,,
26,14.8,57.0,Moderate
2023-09-27,22.2,,
27,22.2,72.0,Moderate
2023-09-28,14.8,,
28,14.8,57.0,Moderate
2023-09-29,18.3,,
29,18.3,64.0,Moderate
2023-09-30,18.3,,
30,18.3,64.0,Moderate
2023-09-,19.4,,
,19.4,66.0,Moderate
2023-10-1,14.8,,
1,14.8,57.0,Moderate
2023-10-2,18.3,,
2,18.3,64.0,Moderate
2023-10-3,18.3,,
3,18.3,64.0,Moderate
2023-10-4,18.3,,
4,18.3,64.0,Moderate
2023-10-5,22.2,,
5,22.2,72.0,Moderate
2023-10-6,25.9,,
6,25.9,80.0,Moderate
2023-10-7,22.2,,
7,22.2,72.0,Moderate
2023-10-8,21.9,,
8,21.9,72.0,Moderate
2023-10-9,25.9,,
9,25.9,80.0,Moderate
2023-10-10,22.2,,
10,22.2,72.0,Moderate
2023-10-11,18.3,,
11,18.3,64.0,Moderate
2023-10-12,14.8,,
12,14.8,57.0,Moderate
2023-10-13,11.1,,
13,11.1,46.0,Good
2023-10-14,14.8,,
14,14.8,57.0,Moderate
2023-10-15,22.2,,
15,22.2,72.0,Moderate
2023-10-16,22.2,,
16,22.2,72.0,Moderate
2023-10-17,14.8,,
17,14.8,57.0,Moderate
2023-10-18,11.1,,
18,11.1,46.0,Good
2023-10-19,18.3,,
19,18.3,64.0,Moderate
2023-10-20,14.8,,
20,14.8,57.0,Moderate
2023-10-21,14.8,,
21,14.8,57.0,Moderate
2023-10-22,14.8,,
22,14.8,57.0,Moderate
2023-10-23,14.8,,
23,14.8,57.0,Moderate
2023-10-24,14.8,,
24,14.8,57.0,Moderate
2023-10-25,14.8,,
25,14.8,57.0,Moderate
2023-10-26,14.8,,
26,14.8,57.0,Moderate
2023-10-27,18.3,,
27,18.3,64.0,Moderate
2023-10-28,18.3,,
28,18.3,64.0,Moderate
2023-10-29,14.8,,
29,14.8,57.0,Moderate
2023-10-30,11.1,,
30,11.1,46.0,Good
2023-10-31,11.1,,
31,11.1,46.0,Good
2023-10-,17.3,,
,17.3,62.0,Moderate
2023-11-1,11.1,,
1,11.1,46.0,Good
2023-11-2,14.8,,
2,14.8,57.0,Moderate
2023-11-3,18.3,,
3,18.3,64.0,Moderate
2023-11-4,14.8,,
4,14.8,57.0,Moderate
2023-11-5,14.8,,
5,14.8,57.0,Moderate
2023-11-6,7.6,,
6,7.6,32.0,Good
2023-11-7,18.3,,
7,18.3,64.0,Moderate
2023-11-8,18.3,,
8,18.3,64.0,Moderate
2023-11-9,11.1,,
9,11.1,46.0,Good
2023-11-10,11.1,,
10,11.1,46.0,Good
2023-11-11,11.1,,
11,11.1,46.0,Good
2023-11-12,11.1,,
12,11.1,46.0,Good
2023-11-13,11.1,,
