Date,PM2.5,AQI,AQI-Bucket
2014-01-1,48.2,,
1,48.2,132.0,Unhealthy for Sensitive Groups
2014-01-2,46.5,,
2,46.5,128.0,Unhealthy for Sensitive Groups
2014-01-3,20.6,,
3,20.6,69.0,Moderate
2014-01-4,32.4,,
4,32.4,94.0,Moderate
2014-01-5,39.6,,
5,39.6,111.0,Unhealthy for Sensitive Groups
2014-01-6,24.1,,
6,24.1,76.0,Moderate
2014-01-7,25.9,,
7,25.9,80.0,Moderate
2014-01-8,22.2,,
8,22.2,72.0,Moderate
2014-01-9,22.2,,
9,22.2,72.0,Moderate
2014-01-10,35.9,,
10,35.9,102.0,Unhealthy for Sensitive Groups
2014-01-11,25.2,,
11,25.2,79.0,Moderate
2014-01-12,18.3,,
12,18.3,64.0,Moderate
2014-01-13,22.2,,
13,22.2,72.0,Moderate
2014-01-14,25.9,,
14,25.9,80.0,Moderate
2014-01-15,18.3,,
15,18.3,64.0,Moderate
2014-01-16,18.3,,
16,18.3,64.0,Moderate
2014-01-17,20.6,,
17,20.6,69.0,Moderate
2014-01-18,18.3,,
18,18.3,64.0,Moderate
2014-01-19,46.5,,
19,46.5,128.0,Unhealthy for Sensitive Groups
2014-01-20,40.7,,
20,40.7,114.0,Unhealthy for Sensitive Groups
2014-01-21,31.7,,
21,31.7,92.0,Moderate
2014-01-22,22.2,,
22,22.2,72.0,Moderate
2014-01-23,24.1,,
23,24.1,76.0,Moderate
2014-01-24,33.5,,
24,33.5,96.0,Moderate
2014-01-25,24.1,,
25,24.1,76.0,Moderate
2014-01-26,29.4,,
26,29.4,87.0,Moderate
2014-01-27,35.2,,
27,35.2,100.0,Moderate
2014-01-28,25.9,,
28,25.9,80.0,Moderate
2014-01-29,35.9,,
29,35.9,102.0,Unhealthy for Sensitive Groups
2014-01-30,35.9,,
30,35.9,102.0,Unhealthy for Sensitive Groups
2014-01-31,18.3,,
31,18.3,64.0,Moderate
2014-01-,28.6,,
,28.6,86.0,Moderate
2014-02-1,18.3,,
1,18.3,64.0,Moderate
2014-02-2,24.1,,
2,24.1,76.0,Moderate
2014-02-3,53.9,,
3,53.9,146.0,Unhealthy for Sensitive Groups
2014-02-4,28.7,,
4,28.7,86.0,Moderate
2014-02-5,18.3,,
5,18.3,64.0,Moderate
2014-02-6,37,,
6,37.0,105.0,Unhealthy for Sensitive Groups
2014-02-7,40.7,,
7,40.7,114.0,Unhealthy for Sensitive Groups
2014-02-8,28.7,,
8,28.7,86.0,Moderate
2014-02-9,18.3,,
9,18.3,64.0,Moderate
2014-02-10,37,,
10,37.0,105.0,Unhealthy for Sensitive Groups
2014-02-11,18.3,,
11,18.3,64.0,Moderate
2014-02-12,44.6,,
12,44.6,123.0,Unhealthy for Sensitive Groups
2014-02-13,55.4,,
13,55.4,150.0,Unhealthy for Sensitive Groups
2014-02-14,43.2,,
14,43.2,120.0,Unhealthy for Sensitive Groups
2014-02-15,33.5,,
15,33.5,96.0,Moderate
2014-02-16,35.2,,
16,35.2,100.0,Moderate
2014-02-17,40.7,,
17,40.7,114.0,Unhealthy for Sensitive Groups
2014-02-18,24.1,,
18,24.1,76.0,Moderate
2014-02-19,43.2,,
19,43.2,120.0,Unhealthy for Sensitive Groups
2014-02-20,20.6,,
20,20.6,69.0,Moderate
2014-02-21,27.8,,
21,27.8,84.0,Moderate
2014-02-22,31.7,,
22,31.7,92.0,Moderate
2014-02-23,79.1,,
23,79.1,163.0,Unhealthy
2014-02-24,40.7,,
24,40.7,114.0,Unhealthy for Sensitive Groups
2014-02-25,31.7,,
25,31.7,92.0,Moderate
2014-02-26,27.8,,
26,27.8,84.0,Moderate
2014-02-27,37,,
27,37.0,105.0,Unhealthy for Sensitive Groups
2014-02-28,27.8,,
28,27.8,84.0,Moderate
2014-02-,34.6,,
,34.6,98.0,Moderate
2014-03-1,35.9,,
1,35.9,102.0,Unhealthy for Sensitive Groups
2014-03-2,22.2,,
2,22.2,72.0,Moderate
2014-03-3,38.9,,
3,38.9,109.0,Unhealthy for Sensitive Groups
2014-03-4,33.5,,
4,33.5,96.0,Moderate
2014-03-5,46.9,,
5,46.9,129.0,Unhealthy for Sensitive Groups
2014-03-6,25.9,,
6,25.9,80.0,Moderate
2014-03-7,29.4,,
7,29.4,87.0,Moderate
2014-03-8,24.1,,
8,24.1,76.0,Moderate
2014-03-9,24.1,,
9,24.1,76.0,Moderate
2014-03-10,43.2,,
10,43.2,120.0,Unhealthy for Sensitive Groups
2014-03-11,35.9,,
11,35.9,102.0,Unhealthy for Sensitive Groups
2014-03-12,33.5,,
12,33.5,96.0,Moderate
2014-03-13,38.9,,
13,38.9,109.0,Unhealthy for Sensitive Groups
2014-03-14,25.9,,
14,25.9,80.0,Moderate
2014-03-15,20.6,,
15,20.6,69.0,Moderate
2014-03-16,39.6,,
16,39.6,111.0,Unhealthy for Sensitive Groups
2014-03-17,43.2,,
17,43.2,120.0,Unhealthy for Sensitive Groups
2014-03-18,25.9,,
18,25.9,80.0,Moderate
2014-03-19,20.6,,
19,20.6,69.0,Moderate
2014-03-20,43.2,,
20,43.2,120.0,Unhealthy for Sensitive Groups
2014-03-21,29.4,,
21,29.4,87.0,Moderate
2014-03-22,24.1,,
22,24.1,76.0,Moderate
2014-03-23,27.8,,
23,27.8,84.0,Moderate
2014-03-24,29.4,,
24,29.4,87.0,Moderate
2014-03-25,53.9,,
25,53.9,146.0,Unhealthy for Sensitive Groups
2014-03-26,35.2,,
26,35.2,100.0,Moderate
2014-03-27,18.3,,
27,18.3,64.0,Moderate
2014-03-28,25.2,,
28,25.2,79.0,Moderate
2014-03-29,27.8,,
29,27.8,84.0,Moderate
2014-03-30,29.4,,
30,29.4,87.0,Moderate
2014-03-31,43.2,,
31,43.2,120.0,Unhealthy for Sensitive Groups
2014-03-,32.1,,
,32.1,93.0,Moderate
2014-04-1,33.5,,
1,33.5,96.0,Moderate
2014-04-2,28.7,,
2,28.7,86.0,Moderate
2014-04-3,25.9,,
3,25.9,80.0,Moderate
2014-04-4,27.8,,
4,27.8,84.0,Moderate
2014-04-5,35.9,,
5,35.9,102.0,Unhealthy for Sensitive Groups
2014-04-6,37,,
6,37.0,105.0,Unhealthy for Sensitive Groups
2014-04-7,24.1,,
7,24.1,76.0,Moderate
2014-04-8,24.1,,
8,24.1,76.0,Moderate
2014-04-9,29.4,,
9,29.4,87.0,Moderate
2014-04-10,28.7,,
10,28.7,86.0,Moderate
2014-04-11,25.9,,
11,25.9,80.0,Moderate
2014-04-12,25.9,,
12,25.9,80.0,Moderate
2014-04-13,31.7,,
13,31.7,92.0,Moderate
2014-04-14,43.2,,
14,43.2,120.0,Unhealthy for Sensitive Groups
2014-04-15,32.4,,
15,32.4,94.0,Moderate
2014-04-16,27.8,,
16,27.8,84.0,Moderate
2014-04-17,25.9,,
17,25.9,80.0,Moderate
2014-04-18,25.2,,
18,25.2,79.0,Moderate
2014-04-19,24.1,,
19,24.1,76.0,Moderate
2014-04-20,44.6,,
20,44.6,123.0,Unhealthy for Sensitive Groups
2014-04-21,27.8,,
21,27.8,84.0,Moderate
2014-04-22,25.9,,
22,25.9,80.0,Moderate
2014-04-23,27.8,,
23,27.8,84.0,Moderate
2014-04-24,37,,
24,37.0,105.0,Unhealthy for Sensitive Groups
2014-04-25,50.4,,
25,50.4,138.0,Unhealthy for Sensitive Groups
2014-04-26,25.9,,
26,25.9,80.0,Moderate
2014-04-27,25.9,,
27,25.9,80.0,Moderate
2014-04-28,29.4,,
28,29.4,87.0,Moderate
2014-04-29,35.9,,
29,35.9,102.0,Unhealthy for Sensitive Groups
2014-04-30,43.2,,
30,43.2,120.0,Unhealthy for Sensitive Groups
2014-04-,31,,
,31.0,91.0,Moderate
2014-05-1,29.4,,
1,29.4,87.0,Moderate
2014-05-2,29.4,,
2,29.4,87.0,Moderate
2014-05-3,27.8,,
3,27.8,84.0,Moderate
2014-05-4,37,,
4,37.0,105.0,Unhealthy for Sensitive Groups
2014-05-5,29.4,,
5,29.4,87.0,Moderate
2014-05-6,31.7,,
6,31.7,92.0,Moderate
2014-05-7,31.7,,
7,31.7,92.0,Moderate
2014-05-8,33.5,,
8,33.5,96.0,Moderate
2014-05-9,29.4,,
9,29.4,87.0,Moderate
2014-05-10,37,,
10,37.0,105.0,Unhealthy for Sensitive Groups
2014-05-11,38.9,,
11,38.9,109.0,Unhealthy for Sensitive Groups
2014-05-12,79.1,,
12,79.1,163.0,Unhealthy
2014-05-13,46.5,,
13,46.5,128.0,Unhealthy for Sensitive Groups
2014-05-14,46.5,,
14,46.5,128.0,Unhealthy for Sensitive Groups
2014-05-15,33.5,,
15,33.5,96.0,Moderate
2014-05-16,29.4,,
16,29.4,87.0,Moderate
2014-05-17,24.1,,
17,24.1,76.0,Moderate
2014-05-18,33.5,,
18,33.5,96.0,Moderate
2014-05-19,29.4,,
19,29.4,87.0,Moderate
2014-05-20,33.5,,
20,33.5,96.0,Moderate
2014-05-21,33.5,,
21,33.5,96.0,Moderate
2014-05-22,37,,
22,37.0,105.0,Unhealthy for Sensitive Groups
2014-05-23,37,,
23,37.0,105.0,Unhealthy for Sensitive Groups
2014-05-24,27.8,,
24,27.8,84.0,Moderate
2014-05-25,24.1,,
25,24.1,76.0,Moderate
2014-05-26,22.2,,
26,22.2,72.0,Moderate
2014-05-27,25.9,,
27,25.9,80.0,Moderate
2014-05-28,33.5,,
28,33.5,96.0,Moderate
2014-05-29,72,,
29,72.0,160.0,Unhealthy
2014-05-30,40.7,,
30,40.7,114.0,Unhealthy for Sensitive Groups
2014-05-31,37,,
31,37.0,105.0,Unhealthy for Sensitive Groups
2014-05-,35.5,,
,35.5,101.0,Unhealthy for Sensitive Groups
2014-06-1,29.4,,
1,29.4,87.0,Moderate
2014-06-2,38.9,,
2,38.9,109.0,Unhealthy for Sensitive Groups
2014-06-3,33.5,,
3,33.5,96.0,Moderate
2014-06-4,42.4,,
4,42.4,118.0,Unhealthy for Sensitive Groups
2014-06-5,40.7,,
5,40.7,114.0,Unhealthy for Sensitive Groups
2014-06-6,35.2,,
6,35.2,100.0,Moderate
2014-06-7,40.7,,
7,40.7,114.0,Unhealthy for Sensitive Groups
2014-06-8,37,,
8,37.0,105.0,Unhealthy for Sensitive Groups
2014-06-9,29.4,,
9,29.4,87.0,Moderate
2014-06-10,33.5,,
10,33.5,96.0,Moderate
2014-06-11,27.8,,
11,27.8,84.0,Moderate
2014-06-12,25.9,,
12,25.9,80.0,Moderate
2014-06-13,29.4,,
13,29.4,87.0,Moderate
2014-06-14,29.4,,
14,29.4,87.0,Moderate
2014-06-15,37,,
15,37.0,105.0,Unhealthy for Sensitive Groups
2014-06-16,33.5,,
16,33.5,96.0,Moderate
2014-06-17,37,,
17,37.0,105.0,Unhealthy for Sensitive Groups
2014-06-18,61.1,,
18,61.1,154.0,Unhealthy
2014-06-19,24.1,,
19,24.1,76.0,Moderate
2014-06-20,37,,
20,37.0,105.0,Unhealthy for Sensitive Groups
2014-06-21,50,,
21,50.0,137.0,Unhealthy for Sensitive Groups
2014-06-22,48.2,,
22,48.2,132.0,Unhealthy for Sensitive Groups
2014-06-23,79.1,,
23,79.1,163.0,Unhealthy
2014-06-24,55.4,,
24,55.4,150.0,Unhealthy for Sensitive Groups
2014-06-25,46.5,,
25,46.5,128.0,Unhealthy for Sensitive Groups
2014-06-26,37,,
26,37.0,105.0,Unhealthy for Sensitive Groups
2014-06-27,44.6,,
27,44.6,123.0,Unhealthy for Sensitive Groups
2014-06-28,46.5,,
28,46.5,128.0,Unhealthy for Sensitive Groups
2014-06-29,50,,
29,50.0,137.0,Unhealthy for Sensitive Groups
2014-06-30,59.4,,
30,59.4,153.0,Unhealthy
2014-06-,40.7,,
,40.7,114.0,Unhealthy for Sensitive Groups
2014-07-1,50,,
1,50.0,137.0,Unhealthy for Sensitive Groups
2014-07-2,44.6,,
2,44.6,123.0,Unhealthy for Sensitive Groups
2014-07-3,51.9,,
3,51.9,141.0,Unhealthy for Sensitive Groups
2014-07-4,40.7,,
4,40.7,114.0,Unhealthy for Sensitive Groups
2014-07-5,42.4,,
5,42.4,118.0,Unhealthy for Sensitive Groups
2014-07-6,33.5,,
6,33.5,96.0,Moderate
2014-07-7,44.6,,
7,44.6,123.0,Unhealthy for Sensitive Groups
2014-07-8,33.5,,
8,33.5,96.0,Moderate
2014-07-9,42.4,,
9,42.4,118.0,Unhealthy for Sensitive Groups
2014-07-10,40.7,,
10,40.7,114.0,Unhealthy for Sensitive Groups
2014-07-11,33.5,,
11,33.5,96.0,Moderate
2014-07-12,33.5,,
12,33.5,96.0,Moderate
2014-07-13,25.9,,
13,25.9,80.0,Moderate
2014-07-14,35.9,,
14,35.9,102.0,Unhealthy for Sensitive Groups
2014-07-15,33.5,,
15,33.5,96.0,Moderate
2014-07-16,25.9,,
16,25.9,80.0,Moderate
2014-07-17,25.9,,
17,25.9,80.0,Moderate
2014-07-18,31.7,,
18,31.7,92.0,Moderate
2014-07-19,44.6,,
19,44.6,123.0,Unhealthy for Sensitive Groups
2014-07-20,44.6,,
20,44.6,123.0,Unhealthy for Sensitive Groups
2014-07-21,40.7,,
21,40.7,114.0,Unhealthy for Sensitive Groups
2014-07-22,44.6,,
22,44.6,123.0,Unhealthy for Sensitive Groups
2014-07-23,44.6,,
23,44.6,123.0,Unhealthy for Sensitive Groups
2014-07-24,35.9,,
24,35.9,102.0,Unhealthy for Sensitive Groups
2014-07-25,25.9,,
25,25.9,80.0,Moderate
2014-07-26,27.8,,
26,27.8,84.0,Moderate
2014-07-27,37,,
27,37.0,105.0,Unhealthy for Sensitive Groups
2014-07-28,44.6,,
28,44.6,123.0,Unhealthy for Sensitive Groups
2014-07-29,35.2,,
29,35.2,100.0,Moderate
2014-07-30,27.8,,
30,27.8,84.0,Moderate
2014-07-31,24.1,,
31,24.1,76.0,Moderate
2014-07-,37,,
,37.0,105.0,Unhealthy for Sensitive Groups
2014-08-1,35.2,,
1,35.2,100.0,Moderate
2014-08-2,27.8,,
2,27.8,84.0,Moderate
2014-08-3,53.9,,
3,53.9,146.0,Unhealthy for Sensitive Groups
2014-08-4,37,,
4,37.0,105.0,Unhealthy for Sensitive Groups
2014-08-5,31.7,,
5,31.7,92.0,Moderate
2014-08-6,31.7,,
6,31.7,92.0,Moderate
2014-08-7,57.6,,
7,57.6,152.0,Unhealthy
2014-08-8,32.4,,
8,32.4,94.0,Moderate
2014-08-9,22.2,,
9,22.2,72.0,Moderate
2014-08-10,29.4,,
10,29.4,87.0,Moderate
2014-08-11,33.5,,
11,33.5,96.0,Moderate
2014-08-12,37,,
12,37.0,105.0,Unhealthy for Sensitive Groups
2014-08-13,40.7,,
13,40.7,114.0,Unhealthy for Sensitive Groups
2014-08-14,44.6,,
14,44.6,123.0,Unhealthy for Sensitive Groups
2014-08-15,38.9,,
15,38.9,109.0,Unhealthy for Sensitive Groups
2014-08-16,44.6,,
16,44.6,123.0,Unhealthy for Sensitive Groups
2014-08-17,31.7,,
17,31.7,92.0,Moderate
2014-08-18,27.8,,
18,27.8,84.0,Moderate
2014-08-19,25.9,,
19,25.9,80.0,Moderate
2014-08-20,31.7,,
20,31.7,92.0,Moderate
2014-08-21,46.5,,
21,46.5,128.0,Unhealthy for Sensitive Groups
2014-08-22,35.2,,
22,35.2,100.0,Moderate
2014-08-23,25.9,,
23,25.9,80.0,Moderate
2014-08-24,29.4,,
24,29.4,87.0,Moderate
2014-08-25,38.9,,
25,38.9,109.0,Unhealthy for Sensitive Groups
2014-08-26,44.6,,
26,44.6,123.0,Unhealthy for Sensitive Groups
2014-08-27,42.4,,
27,42.4,118.0,Unhealthy for Sensitive Groups
2014-08-28,43.2,,
28,43.2,120.0,Unhealthy for Sensitive Groups
2014-08-29,35.9,,
29,35.9,102.0,Unhealthy for Sensitive Groups
2014-08-30,25.2,,
30,25.2,79.0,Moderate
2014-08-31,29.4,,
31,29.4,87.0,Moderate
2014-08-,35.9,,
,35.9,102.0,Unhealthy for Sensitive Groups
2014-09-1,32.4,,
1,32.4,94.0,Moderate
2014-09-2,50,,
2,50.0,137.0,Unhealthy for Sensitive Groups
2014-09-3,37,,
3,37.0,105.0,Unhealthy for Sensitive Groups
2014-09-4,35.2,,
4,35.2,100.0,Moderate
2014-09-5,38.9,,
5,38.9,109.0,Unhealthy for Sensitive Groups
2014-09-6,33.5,,
6,33.5,96.0,Moderate
2014-09-7,29.4,,
7,29.4,87.0,Moderate
2014-09-8,35.2,,
8,35.2,100.0,Moderate
2014-09-9,33.5,,
9,33.5,96.0,Moderate
2014-09-10,29.4,,
10,29.4,87.0,Moderate
2014-09-11,33.5,,
11,33.5,96.0,Moderate
2014-09-12,35.9,,
12,35.9,102.0,Unhealthy for Sensitive Groups
2014-09-13,37,,
13,37.0,105.0,Unhealthy for Sensitive Groups
2014-09-14,31.7,,
14,31.7,92.0,Moderate
2014-09-15,27.8,,
15,27.8,84.0,Moderate
2014-09-16,29.4,,
16,29.4,87.0,Moderate
2014-09-17,29.4,,
17,29.4,87.0,Moderate
2014-09-18,37,,
18,37.0,105.0,Unhealthy for Sensitive Groups
2014-09-19,35.2,,
19,35.2,100.0,Moderate
2014-09-20,33.5,,
20,33.5,96.0,Moderate
2014-09-21,31.7,,
21,31.7,92.0,Moderate
2014-09-22,31.7,,
22,31.7,92.0,Moderate
2014-09-23,38.9,,
23,38.9,109.0,Unhealthy for Sensitive Groups
2014-09-24,40.7,,
24,40.7,114.0,Unhealthy for Sensitive Groups
2014-09-25,44.6,,
25,44.6,123.0,Unhealthy for Sensitive Groups
2014-09-26,50.4,,
26,50.4,138.0,Unhealthy for Sensitive Groups
2014-09-27,39.6,,
27,39.6,111.0,Unhealthy for Sensitive Groups
2014-09-28,43.2,,
28,43.2,120.0,Unhealthy for Sensitive Groups
2014-09-29,35.2,,
29,35.2,100.0,Moderate
2014-09-30,40.7,,
30,40.7,114.0,Unhealthy for Sensitive Groups
2014-09-,36.1,,
,36.1,102.0,Unhealthy for Sensitive Groups
2014-10-1,27.8,,
1,27.8,84.0,Moderate
2014-10-2,35.9,,
2,35.9,102.0,Unhealthy for Sensitive Groups
2014-10-3,33.5,,
3,33.5,96.0,Moderate
2014-10-4,37,,
4,37.0,105.0,Unhealthy for Sensitive Groups
2014-10-5,38.9,,
5,38.9,109.0,Unhealthy for Sensitive Groups
2014-10-6,29.4,,
6,29.4,87.0,Moderate
2014-10-7,28.7,,
7,28.7,86.0,Moderate
2014-10-8,22.2,,
8,22.2,72.0,Moderate
2014-10-9,20.6,,
9,20.6,69.0,Moderate
2014-10-10,21.7,,
10,21.7,71.0,Moderate
2014-10-11,18.3,,
11,18.3,64.0,Moderate
2014-10-12,22.2,,
12,22.2,72.0,Moderate
2014-10-13,33.5,,
13,33.5,96.0,Moderate
2014-10-14,38.9,,
14,38.9,109.0,Unhealthy for Sensitive Groups
