Date,PM2.5,AQI,AQI-Bucket
2024-01-1,10.7,,
1,10.7,45.0,Good
2024-01-2,11.1,,
2,11.1,46.0,Good
2024-01-3,11.1,,
3,11.1,46.0,Good
2024-01-4,14.8,,
4,14.8,57.0,Moderate
2024-01-5,10.7,,
5,10.7,45.0,Good
2024-01-6,18.3,,
6,18.3,64.0,Moderate
2024-01-7,14.8,,
7,14.8,57.0,Moderate
2024-01-8,11.1,,
8,11.1,46.0,Good
2024-01-9,22.2,,
9,22.2,72.0,Moderate
2024-01-10,14.8,,
10,14.8,57.0,Moderate
2024-01-11,11.1,,
11,11.1,46.0,Good
2024-01-12,11.1,,
12,11.1,46.0,Good
2024-01-13,18.3,,
13,18.3,64.0,Moderate
2024-01-14,7.2,,
14,7.2,30.0,Good
2024-01-15,18.3,,
15,18.3,64.0,Moderate
2024-01-16,22.2,,
16,22.2,72.0,Moderate
2024-01-17,7.2,,
17,7.2,30.0,Good
2024-01-18,10.7,,
18,10.7,45.0,Good
2024-01-19,7.6,,
19,7.6,32.0,Good
2024-01-20,10.7,,
20,10.7,45.0,Good
2024-01-21,11.1,,
21,11.1,46.0,Good
2024-01-22,18.3,,
22,18.3,64.0,Moderate
2024-01-23,11.1,,
23,11.1,46.0,Good
2024-01-24,11.1,,
24,11.1,46.0,Good
2024-01-25,14.8,,
25,14.8,57.0,Moderate
2024-01-26,14.8,,
26,14.8,57.0,Moderate
2024-01-27,14.8,,
27,14.8,57.0,Moderate
2024-01-28,22.2,,
28,22.2,72.0,Moderate
2024-01-29,18.3,,
29,18.3,64.0,Moderate
2024-01-30,22.2,,
30,22.2,72.0,Moderate
2024-01-31,22.2,,
31,22.2,72.0,Moderate
2024-01-,14.4,,
,14.4,56.0,Moderate
2024-02-1,18.3,,
1,18.3,64.0,Moderate
2024-02-2,11.1,,
2,11.1,46.0,Good
2024-02-3,22.2,,
3,22.2,72.0,Moderate
2024-02-4,14.8,,
4,14.8,57.0,Moderate
2024-02-5,11.1,,
5,11.1,46.0,Good
2024-02-6,11.1,,
6,11.1,46.0,Good
2024-02-7,14.8,,
7,14.8,57.0,Moderate
2024-02-8,18.3,,
8,18.3,64.0,Moderate
2024-02-9,14.8,,
9,14.8,57.0,Moderate
2024-02-10,11.1,,
10,11.1,46.0,Good
2024-02-11,14.8,,
11,14.8,57.0,Moderate
2024-02-12,14.8,,
12,14.8,57.0,Moderate
2024-02-13,7.6,,
13,7.6,32.0,Good
2024-02-14,11.1,,
14,11.1,46.0,Good
2024-02-15,11.1,,
15,11.1,46.0,Good
2024-02-16,7.6,,
16,7.6,32.0,Good
2024-02-17,18.3,,
17,18.3,64.0,Moderate
2024-02-18,29.4,,
18,29.4,87.0,Moderate
2024-02-19,25.9,,
19,25.9,80.0,Moderate
2024-02-20,18.3,,
20,18.3,64.0,Moderate
2024-02-21,22.2,,
21,22.2,72.0,Moderate
2024-02-22,11.1,,
22,11.1,46.0,Good
2024-02-23,22.2,,
23,22.2,72.0,Moderate
2024-02-24,11.1,,
24,11.1,46.0,Good
2024-02-25,14.8,,
25,14.8,57.0,Moderate
2024-02-26,40.7,,
26,40.7,114.0,Unhealthy for Sensitive Groups
2024-02-27,33.5,,
27,33.5,96.0,Moderate
2024-02-28,22.2,,
28,22.2,72.0,Moderate
2024-02-29,11.1,,
29,11.1,46.0,Good
2024-02-,17.1,,
,17.1,62.0,Moderate
2024-03-1,7.6,,
1,7.6,32.0,Good
2024-03-2,22.2,,
2,22.2,72.0,Moderate
2024-03-3,11.1,,
3,11.1,46.0,Good
2024-03-4,11.1,,
4,11.1,46.0,Good
2024-03-5,25.9,,
5,25.9,80.0,Moderate
2024-03-6,18.3,,
6,18.3,64.0,Moderate
2024-03-7,14.8,,
7,14.8,57.0,Moderate
2024-03-8,14.8,,
8,14.8,57.0,Moderate
2024-03-9,14.8,,
9,14.8,57.0,Moderate
2024-03-10,25.9,,
10,25.9,80.0,Moderate
2024-03-11,18.3,,
11,18.3,64.0,Moderate
2024-03-12,14.8,,
12,14.8,57.0,Moderate
2024-03-13,18.3,,
13,18.3,64.0,Moderate
2024-03-14,11.1,,
14,11.1,46.0,Good
2024-03-15,22.2,,
15,22.2,72.0,Moderate
2024-03-16,14.8,,
16,14.8,57.0,Moderate
2024-03-17,18.3,,
17,18.3,64.0,Moderate
2024-03-18,14.8,,
18,14.8,57.0,Moderate
2024-03-19,18.3,,
19,18.3,64.0,Moderate
2024-03-20,11.1,,
20,11.1,46.0,Good
2024-03-21,22.2,,
21,22.2,72.0,Moderate
2024-03-22,22.2,,
22,22.2,72.0,Moderate
2024-03-23,22.2,,
23,22.2,72.0,Moderate
2024-03-24,-,,
24,,,Invalid
2024-03-25,-,,
25,,,Invalid
2024-03-26,22.2,,
26,22.2,72.0,Moderate
2024-03-27,18.3,,
27,18.3,64.0,Moderate
2024-03-28,-,,
28,,,Invalid
2024-03-29,-,,
29,,,Invalid
2024-03-30,-,,
30,,,Invalid
2024-03-31,-,,
31,,,Invalid
2024-03-,17.4,,
,17.4,62.0,Moderate
2024-04-1,-,,
1,,,Invalid
2024-04-2,-,,
2,,,Invalid
2024-04-3,-,,
3,,,Invalid
2024-04-4,22.2,,
4,22.2,72.0,Moderate
2024-04-5,22.2,,
5,22.2,72.0,Moderate
2024-04-6,22.2,,
6,22.2,72.0,Moderate
2024-04-7,14.8,,
7,14.8,57.0,Moderate
2024-04-8,14.8,,
8,14.8,57.0,Moderate
2024-04-9,18.3,,
9,18.3,64.0,Moderate
2024-04-10,14.8,,
10,14.8,57.0,Moderate
2024-04-11,18.3,,
11,18.3,64.0,Moderate
2024-04-12,18.3,,
12,18.3,64.0,Moderate
2024-04-13,18.3,,
13,18.3,64.0,Moderate
2024-04-14,14.8,,
14,14.8,57.0,Moderate
2024-04-15,18.3,,
15,18.3,64.0,Moderate
2024-04-16,11.1,,
16,11.1,46.0,Good
2024-04-17,11.1,,
17,11.1,46.0,Good
2024-04-18,25.9,,
18,25.9,80.0,Moderate
2024-04-19,29.4,,
19,29.4,87.0,Moderate
2024-04-20,22.2,,
20,22.2,72.0,Moderate
2024-04-21,22.2,,
21,22.2,72.0,Moderate
2024-04-22,22.2,,
22,22.2,72.0,Moderate
2024-04-23,22.2,,
23,22.2,72.0,Moderate
2024-04-24,18.3,,
24,18.3,64.0,Moderate
2024-04-25,25.9,,
25,25.9,80.0,Moderate
2024-04-26,22.2,,
26,22.2,72.0,Moderate
2024-04-27,18.3,,
27,18.3,64.0,Moderate
2024-04-28,18.3,,
28,18.3,64.0,Moderate
2024-04-29,22.2,,
29,22.2,72.0,Moderate
2024-04-30,18.3,,
30,18.3,64.0,Moderate
2024-04-,19.5,,
,19.5,67.0,Moderate
2024-05-1,-,,
1,,,Invalid
2024-05-2,22.2,,
2,22.2,72.0,Moderate
2024-05-3,18.3,,
3,18.3,64.0,Moderate
2024-05-4,22.2,,
4,22.2,72.0,Moderate
2024-05-5,22.2,,
5,22.2,72.0,Moderate
2024-05-6,18.3,,
6,18.3,64.0,Moderate
2024-05-7,14.8,,
7,14.8,57.0,Moderate
2024-05-8,18.3,,
8,18.3,64.0,Moderate
2024-05-9,18.3,,
9,18.3,64.0,Moderate
2024-05-10,18.3,,
10,18.3,64.0,Moderate
2024-05-11,14.8,,
11,14.8,57.0,Moderate
2024-05-12,18.3,,
12,18.3,64.0,Moderate
2024-05-13,18.3,,
13,18.3,64.0,Moderate
2024-05-14,18.3,,
14,18.3,64.0,Moderate
2024-05-15,18.3,,
15,18.3,64.0,Moderate
2024-05-16,18.3,,
16,18.3,64.0,Moderate
2024-05-17,25.9,,
17,25.9,80.0,Moderate
2024-05-18,22.2,,
18,22.2,72.0,Moderate
2024-05-19,25.9,,
19,25.9,80.0,Moderate
2024-05-20,22.2,,
20,22.2,72.0,Moderate
2024-05-21,22.2,,
21,22.2,72.0,Moderate
2024-05-22,25.9,,
22,25.9,80.0,Moderate
2024-05-23,25.9,,
23,25.9,80.0,Moderate
2024-05-24,22.2,,
24,22.2,72.0,Moderate
2024-05-25,18.3,,
25,18.3,64.0,Moderate
2024-05-26,25.9,,
26,25.9,80.0,Moderate
2024-05-27,25.9,,
27,25.9,80.0,Moderate
2024-05-28,33.5,,
28,33.5,96.0,Moderate
2024-05-29,18.3,,
29,18.3,64.0,Moderate
2024-05-30,22.2,,
30,22.2,72.0,Moderate
2024-05-31,18.3,,
31,18.3,64.0,Moderate
2024-05-,21.1,,
,21.1,70.0,Moderate
2024-06-1,18.3,,
1,18.3,64.0,Moderate
2024-06-2,22.2,,
2,22.2,72.0,Moderate
2024-06-3,18.3,,
3,18.3,64.0,Moderate
2024-06-4,25.9,,
4,25.9,80.0,Moderate
2024-06-5,29.4,,
5,29.4,87.0,Moderate
2024-06-6,29.4,,
6,29.4,87.0,Moderate
2024-06-7,22.2,,
7,22.2,72.0,Moderate
2024-06-8,22.2,,
8,22.2,72.0,Moderate
2024-06-9,22.2,,
9,22.2,72.0,Moderate
2024-06-10,25.9,,
10,25.9,80.0,Moderate
2024-06-11,29.4,,
11,29.4,87.0,Moderate
2024-06-12,25.9,,
12,25.9,80.0,Moderate
2024-06-13,29.4,,
13,29.4,87.0,Moderate
2024-06-14,22.2,,
14,22.2,72.0,Moderate
2024-06-15,25.9,,
15,25.9,80.0,Moderate
2024-06-16,22.2,,
16,22.2,72.0,Moderate
2024-06-17,18.3,,
17,18.3,64.0,Moderate
2024-06-18,25.9,,
18,25.9,80.0,Moderate
2024-06-19,22.2,,
19,22.2,72.0,Moderate
2024-06-20,22.2,,
20,22.2,72.0,Moderate
2024-06-21,18.3,,
21,18.3,64.0,Moderate
2024-06-22,14.8,,
22,14.8,57.0,Moderate
2024-06-23,22.2,,
23,22.2,72.0,Moderate
2024-06-24,14.8,,
24,14.8,57.0,Moderate
2024-06-25,22.2,,
25,22.2,72.0,Moderate
2024-06-26,29.4,,
26,29.4,87.0,Moderate
2024-06-27,18.3,,
27,18.3,64.0,Moderate
2024-06-28,25.9,,
28,25.9,80.0,Moderate
2024-06-29,22.2,,
29,22.2,72.0,Moderate
2024-06-30,18.3,,
30,18.3,64.0,Moderate
2024-06-,22.9,,
,22.9,74.0,Moderate
2024-07-1,29.4,,
1,29.4,87.0,Moderate
2024-07-2,25.9,,
2,25.9,80.0,Moderate
2024-07-3,22.2,,
3,22.2,72.0,Moderate
2024-07-4,18.3,,
4,18.3,64.0,Moderate
2024-07-5,22.2,,
5,22.2,72.0,Moderate
2024-07-6,29.4,,
6,29.4,87.0,Moderate
2024-07-7,22.2,,
7,22.2,72.0,Moderate
2024-07-8,18.3,,
8,18.3,64.0,Moderate
2024-07-9,33.5,,
9,33.5,96.0,Moderate
2024-07-10,18.3,,
10,18.3,64.0,Moderate
2024-07-11,25.9,,
11,25.9,80.0,Moderate
2024-07-12,37,,
12,37.0,105.0,Unhealthy for Sensitive Groups
2024-07-13,29.4,,
13,29.4,87.0,Moderate
2024-07-14,18.3,,
14,18.3,64.0,Moderate
2024-07-15,18.3,,
15,18.3,64.0,Moderate
2024-07-16,18.3,,
16,18.3,64.0,Moderate
2024-07-17,22.2,,
17,22.2,72.0,Moderate
2024-07-18,22.2,,
18,22.2,72.0,Moderate
2024-07-19,14.8,,
19,14.8,57.0,Moderate
2024-07-20,14.8,,
20,14.8,57.0,Moderate
2024-07-21,14.8,,
21,14.8,57.0,Moderate
2024-07-22,25.9,,
22,25.9,80.0,Moderate
2024-07-23,22.2,,
23,22.2,72.0,Moderate
2024-07-24,22.2,,
24,22.2,72.0,Moderate
2024-07-25,18.3,,
25,18.3,64.0,Moderate
2024-07-26,22.2,,
26,22.2,72.0,Moderate
2024-07-27,22.2,,
27,22.2,72.0,Moderate
2024-07-28,14.8,,
28,14.8,57.0,Moderate
2024-07-29,18.3,,
29,18.3,64.0,Moderate
2024-07-30,18.3,,
30,18.3,64.0,Moderate
2024-07-31,22.2,,
31,22.2,72.0,Moderate
2024-07-,22,,
,22.0,72.0,Moderate
2024-08-1,25.9,,
1,25.9,80.0,Moderate
2024-08-2,18.3,,
2,18.3,64.0,Moderate
2024-08-3,14.8,,
3,14.8,57.0,Moderate
2024-08-4,22.2,,
4,22.2,72.0,Moderate
2024-08-5,11.1,,
5,11.1,46.0,Good
2024-08-6,18.3,,
6,18.3,64.0,Moderate
2024-08-7,29.4,,
7,29.4,87.0,Moderate
2024-08-8,18.3,,
8,18.3,64.0,Moderate
2024-08-9,25.9,,
9,25.9,80.0,Moderate
2024-08-10,33.5,,
10,33.5,96.0,Moderate
2024-08-11,25.9,,
11,25.9,80.0,Moderate
2024-08-12,-,,
12,,,Invalid
2024-08-13,22.2,,
13,22.2,72.0,Moderate
2024-08-14,22.2,,
14,22.2,72.0,Moderate
2024-08-15,25.9,,
15,25.9,80.0,Moderate
2024-08-16,14.8,,
16,14.8,57.0,Moderate
2024-08-17,14.8,,
17,14.8,57.0,Moderate
2024-08-18,14.8,,
18,14.8,57.0,Moderate
2024-08-19,18.3,,
19,18.3,64.0,Moderate
2024-08-20,22.2,,
20,22.2,72.0,Moderate
2024-08-21,22.2,,
21,22.2,72.0,Moderate
2024-08-22,22.2,,
22,22.2,72.0,Moderate
2024-08-23,22.2,,
23,22.2,72.0,Moderate
2024-08-24,18.3,,
24,18.3,64.0,Moderate
2024-08-25,22.2,,
25,22.2,72.0,Moderate
2024-08-26,29.4,,
26,29.4,87.0,Moderate
2024-08-27,18.3,,
27,18.3,64.0,Moderate
2024-08-28,18.3,,
28,18.3,64.0,Moderate
2024-08-29,18.3,,
29,18.3,64.0,Moderate
2024-08-30,37,,
30,37.0,105.0,Unhealthy for Sensitive Groups
2024-08-31,22.2,,
31,22.2,72.0,Moderate
2024-08-,21.6,,
,21.6,71.0,Moderate
2024-09-1,11.1,,
1,11.1,46.0,Good
2024-09-2,14.8,,
2,14.8,57.0,Moderate
2024-09-3,14.8,,
3,14.8,57.0,Moderate
2024-09-4,18.3,,
4,18.3,64.0,Moderate
2024-09-5,25.9,,
5,25.9,80.0,Moderate
2024-09-6,22.2,,
6,22.2,72.0,Moderate
2024-09-7,18.3,,
7,18.3,64.0,Moderate
2024-09-8,18.3,,
8,18.3,64.0,Moderate
2024-09-9,22.2,,
9,22.2,72.0,Moderate
2024-09-10,14.8,,
10,14.8,57.0,Moderate
2024-09-11,14.8,,
11,14.8,57.0,Moderate
2024-09-12,18.3,,
12,18.3,64.0,Moderate
2024-09-13,25.9,,
13,25.9,80.0,Moderate
2024-09-14,29.4,,
14,29.4,87.0,Moderate
2024-09-15,18.3,,
15,18.3,64.0,Moderate
2024-09-16,25.9,,
16,25.9,80.0,Moderate
2024-09-17,22.2,,
17,22.2,72.0,Moderate
2024-09-18,14.8,,
18,14.8,57.0,Moderate
2024-09-19,18.3,,
19,18.3,64.0,Moderate
2024-09-20,18.3,,
20,18.3,64.0,Moderate
2024-09-21,18.3,,
21,18.3,64.0,Moderate
2024-09-22,18.3,,
22,18.3,64.0,Moderate
2024-09-23,18.3,,
23,18.3,64.0,Moderate
2024-09-24,18.3,,
24,18.3,64.0,Moderate
2024-09-25,18.3,,
25,18.3,64.0,Moderate
2024-09-26,18.3,,
26,18.3,64.0,Moderate
2024-09-27,22.2,,
27,22.2,72.0,Moderate
2024-09-28,25.9,,
28,25.9,80.0,Moderate
2024-09-29,22.2,,
29,22.2,72.0,Moderate
2024-09-30,22.2,,
30,22.2,72.0,Moderate
2024-09-,19.6,,
,19.6,67.0,Moderate
2024-10-1,22.2,,
1,22.2,72.0,Moderate
2024-10-2,22.2,,
2,22.2,72.0,Moderate
2024-10-3,22.2,,
3,22.2,72.0,Moderate
2024-10-4,22.2,,
4,22.2,72.0,Moderate
2024-10-5,18.3,,
5,18.3,64.0,Moderate
2024-10-6,14.8,,
6,14.8,57.0,Moderate
2024-10-7,14.8,,
7,14.8,57.0,Moderate
2024-10-8,18.3,,
8,18.3,64.0,Moderate
2024-10-9,14.8,,
9,14.8,57.0,Moderate
2024-10-10,11.1,,
10,11.1,46.0,Good
2024-10-11,11.1,,
11,11.1,46.0,Good
2024-10-12,14.8,,
12,14.8,57.0,Moderate
2024-10-13,3.5,,
13,3.5,15.0,Good
2024-10-14,11.1,,
14,11.1,46.0,Good
2024-10-15,14.8,,
15,14.8,57.0,Moderate
2024-10-16,22.2,,
16,22.2,72.0,Moderate
2024-10-17,11.1,,
17,11.1,46.0,Good
2024-10-18,18.3,,
18,18.3,64.0,Moderate
2024-10-19,14.8,,
19,14.8,57.0,Moderate
2024-10-20,18.3,,
20,18.3,64.0,Moderate
2024-10-21,18.3,,
21,18.3,64.0,Moderate
2024-10-22,18.3,,
22,18.3,64.0,Moderate
2024-10-23,11.1,,
23,11.1,46.0,Good
2024-10-24,11.1,,
24,11.1,46.0,Good
2024-10-25,14.8,,
25,14.8,57.0,Moderate
2024-10-26,14.8,,
26,14.8,57.0,Moderate
2024-10-27,14.8,,
27,14.8,57.0,Moderate
