Date,PM2.5,AQI,AQI-Bucket
2021-01-1,14.8,,
1,14.8,57.0,Moderate
2021-01-2,11.1,,
2,11.1,46.0,Good
2021-01-3,7.6,,
3,7.6,32.0,Good
2021-01-4,18.3,,
4,18.3,64.0,Moderate
2021-01-5,7.6,,
5,7.6,32.0,Good
2021-01-6,7.6,,
6,7.6,32.0,Good
2021-01-7,14.8,,
7,14.8,57.0,Moderate
2021-01-8,14.8,,
8,14.8,57.0,Moderate
2021-01-9,29.4,,
9,29.4,87.0,Moderate
2021-01-10,14.8,,
10,14.8,57.0,Moderate
2021-01-11,11.1,,
11,11.1,46.0,Good
2021-01-12,11.1,,
12,11.1,46.0,Good
2021-01-13,7.6,,
13,7.6,32.0,Good
2021-01-14,11.1,,
14,11.1,46.0,Good
2021-01-15,11.1,,
15,11.1,46.0,Good
2021-01-16,18.3,,
16,18.3,64.0,Moderate
2021-01-17,14.8,,
17,14.8,57.0,Moderate
2021-01-18,11.1,,
18,11.1,46.0,Good
2021-01-19,7.6,,
19,7.6,32.0,Good
2021-01-20,11.1,,
20,11.1,46.0,Good
2021-01-21,22.2,,
21,22.2,72.0,Moderate
2021-01-22,25.9,,
22,25.9,80.0,Moderate
2021-01-23,22.2,,
23,22.2,72.0,Moderate
2021-01-24,11.1,,
24,11.1,46.0,Good
2021-01-25,11.1,,
25,11.1,46.0,Good
2021-01-26,7.6,,
26,7.6,32.0,Good
2021-01-27,7.6,,
27,7.6,32.0,Good
2021-01-28,18.3,,
28,18.3,64.0,Moderate
2021-01-29,18.3,,
29,18.3,64.0,Moderate
2021-01-30,14.8,,
30,14.8,57.0,Moderate
2021-01-31,22.2,,
31,22.2,72.0,Moderate
2021-01-,14.1,,
,14.1,55.0,Moderate
2021-02-1,11.1,,
1,11.1,46.0,Good
2021-02-2,14.8,,
2,14.8,57.0,Moderate
2021-02-3,14.8,,
3,14.8,57.0,Moderate
2021-02-4,14.8,,
4,14.8,57.0,Moderate
2021-02-5,14.8,,
5,14.8,57.0,Moderate
2021-02-6,11.1,,
6,11.1,46.0,Good
2021-02-7,14.8,,
7,14.8,57.0,Moderate
2021-02-8,11.1,,
8,11.1,46.0,Good
2021-02-9,14.8,,
9,14.8,57.0,Moderate
2021-02-10,22.2,,
10,22.2,72.0,Moderate
2021-02-11,-,,
11,,,Invalid
2021-02-12,-,,
12,,,Invalid
2021-02-13,11.1,,
13,11.1,46.0,Good
2021-02-14,18.3,,
14,18.3,64.0,Moderate
2021-02-15,18.3,,
15,18.3,64.0,Moderate
2021-02-16,18.3,,
16,18.3,64.0,Moderate
2021-02-17,14.8,,
17,14.8,57.0,Moderate
2021-02-18,14.8,,
18,14.8,57.0,Moderate
2021-02-19,-,,
19,,,Invalid
2021-02-20,-,,
20,,,Invalid
2021-02-21,10.7,,
21,10.7,45.0,Good
2021-02-22,11.1,,
22,11.1,46.0,Good
2021-02-23,22.2,,
23,22.2,72.0,Moderate
2021-02-24,25.9,,
24,25.9,80.0,Moderate
2021-02-25,18.3,,
25,18.3,64.0,Moderate
2021-02-26,22.2,,
26,22.2,72.0,Moderate
2021-02-27,14.8,,
27,14.8,57.0,Moderate
2021-02-28,22.2,,
28,22.2,72.0,Moderate
2021-02-,16.1,,
,16.1,59.0,Moderate
2021-03-1,14.8,,
1,14.8,57.0,Moderate
2021-03-2,18.3,,
2,18.3,64.0,Moderate
2021-03-3,18.3,,
3,18.3,64.0,Moderate
2021-03-4,18.3,,
4,18.3,64.0,Moderate
2021-03-5,18.3,,
5,18.3,64.0,Moderate
2021-03-6,22.2,,
6,22.2,72.0,Moderate
2021-03-7,22.2,,
7,22.2,72.0,Moderate
2021-03-8,22.2,,
8,22.2,72.0,Moderate
2021-03-9,18.3,,
9,18.3,64.0,Moderate
2021-03-10,22.2,,
10,22.2,72.0,Moderate
2021-03-11,14.8,,
11,14.8,57.0,Moderate
2021-03-12,7.6,,
12,7.6,32.0,Good
2021-03-13,25.9,,
13,25.9,80.0,Moderate
2021-03-14,22.2,,
14,22.2,72.0,Moderate
2021-03-15,18.3,,
15,18.3,64.0,Moderate
2021-03-16,18.3,,
16,18.3,64.0,Moderate
2021-03-17,18.3,,
17,18.3,64.0,Moderate
2021-03-18,25.6,,
18,25.6,79.0,Moderate
2021-03-19,18.3,,
19,18.3,64.0,Moderate
2021-03-20,18.3,,
20,18.3,64.0,Moderate
2021-03-21,22.2,,
21,22.2,72.0,Moderate
2021-03-22,25.9,,
22,25.9,80.0,Moderate
2021-03-23,14.8,,
23,14.8,57.0,Moderate
2021-03-24,14.8,,
24,14.8,57.0,Moderate
2021-03-25,11.1,,
25,11.1,46.0,Good
2021-03-26,22.2,,
26,22.2,72.0,Moderate
2021-03-27,22.2,,
27,22.2,72.0,Moderate
2021-03-28,22.2,,
28,22.2,72.0,Moderate
2021-03-29,18.3,,
29,18.3,64.0,Moderate
2021-03-30,18.3,,
30,18.3,64.0,Moderate
2021-03-31,37,,
31,37.0,105.0,Unhealthy for Sensitive Groups
2021-03-,19.7,,
,19.7,67.0,Moderate
2021-04-1,14.8,,
1,14.8,57.0,Moderate
2021-04-2,14.8,,
2,14.8,57.0,Moderate
2021-04-3,14.8,,
3,14.8,57.0,Moderate
2021-04-4,18.3,,
4,18.3,64.0,Moderate
2021-04-5,25.9,,
5,25.9,80.0,Moderate
2021-04-6,25.9,,
6,25.9,80.0,Moderate
2021-04-7,14.8,,
7,14.8,57.0,Moderate
2021-04-8,22.2,,
8,22.2,72.0,Moderate
2021-04-9,14.8,,
9,14.8,57.0,Moderate
2021-04-10,11.1,,
10,11.1,46.0,Good
2021-04-11,18.3,,
11,18.3,64.0,Moderate
2021-04-12,14.8,,
12,14.8,57.0,Moderate
2021-04-13,18.3,,
13,18.3,64.0,Moderate
2021-04-14,22.2,,
14,22.2,72.0,Moderate
2021-04-15,22.2,,
15,22.2,72.0,Moderate
2021-04-16,14.8,,
16,14.8,57.0,Moderate
2021-04-17,14.8,,
17,14.8,57.0,Moderate
2021-04-18,14.8,,
18,14.8,57.0,Moderate
2021-04-19,18.3,,
19,18.3,64.0,Moderate
2021-04-20,29.4,,
20,29.4,87.0,Moderate
2021-04-21,14.8,,
21,14.8,57.0,Moderate
2021-04-22,18.3,,
22,18.3,64.0,Moderate
2021-04-23,22.2,,
23,22.2,72.0,Moderate
2021-04-24,14.8,,
24,14.8,57.0,Moderate
2021-04-25,18.3,,
25,18.3,64.0,Moderate
2021-04-26,14.8,,
26,14.8,57.0,Moderate
2021-04-27,18.3,,
27,18.3,64.0,Moderate
2021-04-28,11.1,,
28,11.1,46.0,Good
2021-04-29,14.8,,
29,14.8,57.0,Moderate
2021-04-30,18.3,,
30,18.3,64.0,Moderate
2021-04-,17.7,,
,17.7,63.0,Moderate
2021-05-1,25.9,,
1,25.9,80.0,Moderate
2021-05-2,18.3,,
2,18.3,64.0,Moderate
2021-05-3,14.8,,
3,14.8,57.0,Moderate
2021-05-4,18.3,,
4,18.3,64.0,Moderate
2021-05-5,29.4,,
5,29.4,87.0,Moderate
2021-05-6,18.3,,
6,18.3,64.0,Moderate
2021-05-7,14.8,,
7,14.8,57.0,Moderate
2021-05-8,18.3,,
8,18.3,64.0,Moderate
2021-05-9,25.9,,
9,25.9,80.0,Moderate
2021-05-10,29.4,,
10,29.4,87.0,Moderate
2021-05-11,33.5,,
11,33.5,96.0,Moderate
2021-05-12,33.5,,
12,33.5,96.0,Moderate
2021-05-13,29.4,,
13,29.4,87.0,Moderate
2021-05-14,18.3,,
14,18.3,64.0,Moderate
2021-05-15,18.3,,
15,18.3,64.0,Moderate
2021-05-16,44.6,,
16,44.6,123.0,Unhealthy for Sensitive Groups
2021-05-17,29.4,,
17,29.4,87.0,Moderate
2021-05-18,55.4,,
18,55.4,150.0,Unhealthy for Sensitive Groups
2021-05-19,18.3,,
19,18.3,64.0,Moderate
2021-05-20,14.8,,
20,14.8,57.0,Moderate
2021-05-21,25.9,,
21,25.9,80.0,Moderate
2021-05-22,18.3,,
22,18.3,64.0,Moderate
2021-05-23,14.8,,
23,14.8,57.0,Moderate
2021-05-24,22.2,,
24,22.2,72.0,Moderate
2021-05-25,29.4,,
25,29.4,87.0,Moderate
2021-05-26,22.2,,
26,22.2,72.0,Moderate
2021-05-27,22.2,,
27,22.2,72.0,Moderate
2021-05-28,18.3,,
28,18.3,64.0,Moderate
2021-05-29,18.3,,
29,18.3,64.0,Moderate
2021-05-30,25.9,,
30,25.9,80.0,Moderate
2021-05-31,25.9,,
31,25.9,80.0,Moderate
2021-05-,24.3,,
